category,days_to_expiry,base_price,markdown_pct,price,units_sold
dairy,5,11.22,30,7.86,65.2
dairy,2,14.25,20,11.4,67.1
dairy,2,5.52,40,3.31,102.0
dairy,2,7.7,0,7.7,57.2
dairy,5,7.51,0,7.51,61.8
dairy,1,2.76,30,1.93,79.2
dairy,5,9.55,50,4.78,106.0
dairy,0,13.43,0,13.43,82.7
dairy,6,2.34,0,2.34,38.1
dairy,0,3.96,0,3.96,45.0
dairy,3,4.4,30,3.08,108.4
dairy,3,13.23,40,7.94,84.7
dairy,5,6.62,10,5.96,53.7
dairy,2,9.96,0,9.96,56.2
dairy,3,6.18,0,6.18,43.1
dairy,7,8.42,0,8.42,43.2
dairy,6,11.59,10,10.43,41.5
dairy,5,11.98,30,8.39,50.5
dairy,7,11.28,50,5.64,101.1
dairy,7,13.03,20,10.42,73.5
dairy,2,13.1,50,6.55,211.3
dairy,6,6.65,0,6.65,44.9
dairy,0,13.48,0,13.48,47.5
dairy,5,6.98,40,4.19,89.3
dairy,6,7.96,40,4.78,72.0
dairy,6,3.69,0,3.69,26.1
dairy,5,3.35,0,3.35,34.1
dairy,3,11.2,30,7.84,59.4
dairy,5,4.58,0,4.58,40.6
dairy,5,2.29,50,1.15,94.7
dairy,6,10.88,20,8.7,75.8
dairy,3,14.49,30,10.14,53.9
dairy,4,13.36,0,13.36,34.4
dairy,2,8.04,40,4.82,142.8
dairy,6,4.24,30,2.97,46.5
dairy,2,11.18,30,7.82,57.8
dairy,1,7.25,0,7.25,43.8
dairy,4,5.7,30,3.99,80.1
dairy,5,3.27,0,3.27,57.2
dairy,6,10.59,10,9.53,41.0
dairy,7,8.91,0,8.91,31.4
dairy,2,11.75,0,11.75,50.2
dairy,2,6.3,30,4.41,72.2
dairy,7,8.11,10,7.3,40.3
dairy,7,12.95,10,11.65,49.1
dairy,4,13.43,50,6.71,80.4
dairy,4,12.73,30,8.91,62.0
dairy,1,7.32,0,7.32,41.9
dairy,7,11.35,20,9.08,50.6
dairy,0,14.48,20,11.59,75.1
dairy,2,5.51,0,5.51,41.9
dairy,4,5.31,0,5.31,48.5
dairy,2,13.78,30,9.64,64.3
dairy,7,8.75,40,5.25,81.5
dairy,2,8.79,50,4.4,123.7
dairy,5,6.44,0,6.44,32.8
dairy,5,8.13,50,4.07,137.3
dairy,7,11.0,0,11.0,31.9
dairy,0,10.7,0,10.7,60.4
dairy,5,12.51,10,11.26,32.0
dairy,7,7.11,30,4.98,67.6
dairy,4,11.29,50,5.65,182.7
dairy,4,10.57,0,10.57,33.1
dairy,5,2.08,0,2.08,51.0
dairy,5,12.58,20,10.06,65.8
dairy,7,2.57,0,2.57,49.7
dairy,4,9.76,50,4.88,81.8
dairy,0,7.68,40,4.61,89.5
dairy,7,7.85,50,3.92,131.8
dairy,0,14.69,10,13.22,71.6
dairy,6,10.85,0,10.85,39.4
dairy,0,10.64,0,10.64,58.0
dairy,0,8.15,50,4.08,144.3
dairy,7,12.58,20,10.06,40.5
dairy,6,14.9,50,7.45,93.1
dairy,1,11.96,0,11.96,56.2
dairy,7,12.33,40,7.4,79.0
dairy,4,8.04,10,7.24,34.9
dairy,5,11.5,0,11.5,34.5
dairy,6,10.75,10,9.68,60.6
dairy,4,12.59,10,11.33,42.6
dairy,3,10.7,30,7.49,73.6
dairy,4,8.73,40,5.24,53.4
dairy,3,14.97,0,14.97,48.3
dairy,3,10.21,40,6.12,81.8
dairy,0,5.23,30,3.66,66.4
dairy,2,6.05,0,6.05,40.6
dairy,2,2.19,20,1.75,52.2
dairy,6,3.97,0,3.97,46.9
dairy,6,9.61,20,7.68,62.5
dairy,4,14.26,30,9.98,78.1
dairy,7,6.06,10,5.46,46.2
dairy,4,7.15,30,5.0,28.5
dairy,3,9.52,0,9.52,32.8
dairy,2,10.69,40,6.41,83.5
dairy,4,5.59,30,3.91,101.9
dairy,0,13.96,20,11.17,83.5
dairy,0,12.08,10,10.87,80.2
dairy,6,4.03,0,4.03,36.9
dairy,5,10.98,40,6.59,124.1
dairy,5,5.0,40,3.0,77.6
dairy,2,13.36,0,13.36,68.0
dairy,7,6.56,50,3.28,94.1
dairy,0,11.33,0,11.33,60.7
dairy,6,14.24,50,7.12,261.9
dairy,2,4.91,40,2.94,95.5
dairy,3,8.71,0,8.71,48.9
dairy,3,10.38,50,5.19,105.9
dairy,2,3.02,0,3.02,51.4
dairy,3,11.86,20,9.49,56.1
dairy,6,4.51,40,2.71,105.8
dairy,3,2.77,10,2.49,78.6
dairy,2,5.45,20,4.36,38.2
dairy,3,10.54,20,8.43,71.0
dairy,1,4.43,10,3.98,76.0
dairy,3,9.19,0,9.19,85.6
dairy,3,14.78,0,14.78,50.7
dairy,3,4.35,10,3.91,72.1
dairy,3,5.69,0,5.69,67.3
dairy,1,13.93,0,13.93,72.5
dairy,0,10.11,0,10.11,83.4
dairy,1,8.72,40,5.23,78.3
dairy,5,7.73,30,5.41,52.2
dairy,0,11.71,10,10.54,50.0
dairy,5,3.49,20,2.8,71.9
dairy,4,10.09,50,5.04,151.1
dairy,5,12.2,0,12.2,39.5
dairy,0,7.02,20,5.62,89.7
dairy,6,13.16,40,7.9,114.5
dairy,4,8.77,0,8.77,38.4
dairy,4,14.94,0,14.94,27.2
dairy,3,7.82,10,7.04,44.0
dairy,0,4.82,10,4.33,56.9
dairy,7,5.09,50,2.55,81.6
dairy,2,3.98,0,3.98,49.4
dairy,5,5.68,20,4.55,129.7
dairy,0,10.13,30,7.09,97.9
dairy,4,7.05,20,5.64,76.9
dairy,7,11.15,0,11.15,28.7
dairy,3,2.68,10,2.41,66.5
dairy,7,9.47,50,4.73,77.8
dairy,6,9.9,0,9.9,32.5
dairy,3,2.93,0,2.93,52.7
dairy,3,11.76,0,11.76,36.9
dairy,6,13.69,20,10.95,55.1
dairy,2,4.93,0,4.93,36.3
dairy,2,14.02,20,11.22,70.5
dairy,4,13.06,10,11.75,48.0
dairy,6,13.74,40,8.25,68.8
dairy,2,2.6,20,2.08,47.6
dairy,5,4.72,10,4.25,41.6
dairy,7,3.88,0,3.88,56.0
dairy,4,14.82,30,10.38,60.7
dairy,2,9.81,40,5.89,75.9
dairy,2,3.24,0,3.24,56.6
dairy,5,3.37,0,3.37,38.1
dairy,7,8.88,0,8.88,41.4
dairy,6,6.11,20,4.89,69.2
dairy,2,11.9,40,7.14,115.1
dairy,5,3.07,0,3.07,31.1
dairy,0,3.73,0,3.73,56.0
dairy,4,11.36,10,10.22,48.4
dairy,2,11.69,40,7.02,78.9
dairy,7,10.02,0,10.02,47.0
dairy,1,6.63,50,3.31,83.5
dairy,4,11.43,10,10.29,56.2
dairy,4,6.9,40,4.14,157.1
dairy,2,10.4,50,5.2,145.2
dairy,3,4.61,50,2.3,118.2
dairy,7,5.52,50,2.76,74.7
dairy,3,10.63,0,10.63,33.7
dairy,7,4.23,0,4.23,42.7
dairy,1,6.75,0,6.75,49.0
dairy,2,8.49,0,8.49,37.5
dairy,6,3.93,50,1.97,117.0
dairy,4,9.06,30,6.34,57.3
dairy,6,13.59,0,13.59,45.9
dairy,3,13.74,40,8.24,159.2
dairy,3,10.74,20,8.59,52.3
dairy,0,2.1,20,1.68,94.3
dairy,7,13.09,0,13.09,57.3
dairy,4,6.19,0,6.19,36.7
dairy,5,12.96,0,12.96,38.7
dairy,3,6.36,20,5.09,77.2
dairy,0,7.61,10,6.85,111.5
dairy,7,14.2,50,7.1,65.2
dairy,7,14.67,10,13.21,40.5
dairy,4,2.5,20,2.0,53.7
dairy,6,2.82,20,2.26,83.0
dairy,7,8.29,0,8.29,28.2
dairy,0,10.3,20,8.24,65.0
dairy,2,2.92,40,1.75,51.5
dairy,0,2.87,20,2.29,68.9
dairy,3,8.07,30,5.65,87.2
dairy,7,10.9,0,10.9,38.0
dairy,1,3.32,0,3.32,87.2
dairy,4,13.18,0,13.18,31.2
dairy,4,6.14,0,6.14,39.8
dairy,2,12.46,0,12.46,55.1
dairy,3,11.04,30,7.73,79.8
dairy,3,3.53,0,3.53,53.4
dairy,1,10.31,10,9.28,74.4
dairy,7,10.15,0,10.15,40.0
dairy,5,10.48,0,10.48,47.1
dairy,5,4.4,20,3.52,52.6
dairy,1,11.33,0,11.33,61.9
dairy,6,2.74,30,1.92,55.4
dairy,2,14.55,40,8.73,118.8
dairy,4,8.58,10,7.72,55.6
dairy,7,10.76,30,7.53,62.6
dairy,7,13.55,20,10.84,57.2
dairy,2,10.2,20,8.16,70.8
dairy,3,5.07,20,4.06,47.7
dairy,5,8.04,20,6.43,70.5
dairy,0,12.85,30,9.0,98.6
dairy,7,6.91,30,4.84,56.5
dairy,2,7.4,10,6.66,50.6
dairy,4,11.89,0,11.89,49.0
dairy,1,3.35,10,3.02,54.2
dairy,1,11.19,0,11.19,50.6
dairy,5,5.41,40,3.24,74.1
dairy,1,12.42,10,11.18,44.9
dairy,0,8.0,30,5.6,91.6
dairy,5,3.11,0,3.11,33.7
dairy,6,7.94,10,7.15,25.7
dairy,0,8.16,20,6.52,120.5
dairy,2,13.93,30,9.75,67.4
dairy,2,6.81,20,5.44,70.8
dairy,7,6.85,0,6.85,34.0
dairy,2,12.06,50,6.03,92.0
dairy,6,2.65,20,2.12,45.9
dairy,0,11.26,40,6.76,130.2
dairy,0,6.9,50,3.45,148.9
dairy,1,11.93,0,11.93,46.2
dairy,3,12.76,40,7.66,78.8
dairy,2,7.43,0,7.43,69.4
dairy,2,6.25,10,5.63,34.1
dairy,0,6.67,40,4.0,146.0
dairy,3,9.5,10,8.55,45.0
dairy,2,13.23,10,11.91,68.6
dairy,0,8.19,0,8.19,54.2
dairy,0,13.34,0,13.34,50.4
dairy,0,11.3,30,7.91,89.3
dairy,0,9.41,0,9.41,54.0
dairy,4,11.58,30,8.11,101.9
dairy,1,3.45,0,3.45,35.7
dairy,3,13.13,30,9.19,62.8
dairy,0,11.41,30,7.99,100.2
dairy,3,8.37,0,8.37,67.1
dairy,0,11.99,20,9.59,73.3
dairy,0,12.28,50,6.14,115.9
dairy,2,4.71,20,3.77,68.7
dairy,2,8.0,0,8.0,34.4
dairy,3,4.54,20,3.63,51.0
dairy,2,7.84,30,5.49,133.8
dairy,1,10.95,30,7.66,65.4
dairy,5,10.22,0,10.22,35.9
dairy,5,4.76,40,2.86,77.1
dairy,2,13.65,30,9.56,60.3
dairy,6,12.43,10,11.19,60.3
dairy,7,11.81,30,8.27,53.0
dairy,1,14.9,10,13.41,103.5
dairy,5,14.86,50,7.43,74.8
dairy,5,14.29,30,10.0,64.4
dairy,5,14.23,30,9.96,72.5
dairy,0,12.61,20,10.09,87.7
dairy,3,7.51,50,3.75,149.8
dairy,0,8.46,40,5.08,99.1
dairy,7,2.87,0,2.87,52.0
dairy,4,7.0,20,5.6,84.6
dairy,2,11.58,20,9.26,71.7
dairy,7,6.43,50,3.22,149.1
dairy,6,14.4,0,14.4,41.5
dairy,3,5.85,10,5.27,50.4
dairy,5,7.11,20,5.69,46.3
dairy,1,10.52,0,10.52,57.4
dairy,1,5.41,30,3.79,73.8
dairy,5,8.33,0,8.33,41.8
dairy,7,12.92,30,9.04,123.8
dairy,7,7.31,0,7.31,43.0
dairy,3,4.98,0,4.98,62.0
dairy,1,11.4,0,11.4,42.8
dairy,3,4.89,50,2.44,80.6
dairy,0,4.18,20,3.35,121.6
dairy,7,10.11,20,8.09,45.6
dairy,6,12.06,10,10.86,40.6
dairy,1,11.05,0,11.05,39.3
dairy,4,13.44,20,10.76,64.2
dairy,0,6.25,40,3.75,61.9
dairy,1,11.06,0,11.06,77.6
dairy,5,6.48,20,5.18,36.7
dairy,5,11.13,50,5.56,141.1
dairy,0,3.81,30,2.67,86.5
dairy,1,5.2,0,5.2,55.1
dairy,1,14.87,0,14.87,40.5
dairy,1,8.85,0,8.85,47.0
dairy,5,5.8,10,5.22,55.8
dairy,6,8.69,30,6.08,96.2
dairy,5,6.75,10,6.07,71.6
dairy,4,8.28,40,4.97,84.2
dairy,1,12.41,50,6.21,126.0
dairy,1,11.52,0,11.52,48.3
dairy,5,2.27,40,1.36,63.9
dairy,1,4.31,0,4.31,34.5
dairy,0,7.51,30,5.26,99.4
dairy,4,11.91,20,9.52,50.0
dairy,2,9.58,20,7.67,48.9
dairy,1,13.5,50,6.75,152.2
dairy,0,3.38,30,2.36,124.3
dairy,1,13.47,20,10.78,114.8
dairy,0,12.22,20,9.78,84.5
dairy,0,14.36,20,11.49,107.7
dairy,4,11.64,10,10.47,33.8
dairy,5,4.6,40,2.76,89.9
dairy,1,5.81,0,5.81,66.4
dairy,3,6.95,0,6.95,35.5
dairy,0,13.15,30,9.21,62.3
dairy,1,14.6,0,14.6,57.7
dairy,0,2.62,20,2.1,96.9
dairy,1,2.21,50,1.11,131.1
dairy,0,8.56,10,7.7,53.2
dairy,7,11.86,0,11.86,45.4
dairy,6,4.35,0,4.35,37.3
dairy,4,12.57,0,12.57,31.9
dairy,0,9.53,20,7.63,47.5
dairy,6,2.71,30,1.89,65.7
dairy,2,11.88,40,7.13,157.0
dairy,5,10.24,20,8.19,99.3
dairy,2,14.12,50,7.06,109.8
dairy,0,2.67,40,1.6,77.7
dairy,4,5.73,30,4.01,67.7
dairy,5,11.72,20,9.38,75.6
dairy,2,2.3,30,1.61,76.4
dairy,4,7.53,10,6.78,36.0
dairy,0,4.48,0,4.48,43.4
dairy,7,6.32,10,5.69,52.0
dairy,0,7.23,0,7.23,45.4
dairy,3,5.1,10,4.59,41.8
dairy,6,4.97,0,4.97,47.1
dairy,5,4.71,20,3.77,73.1
dairy,0,7.57,10,6.81,81.3
dairy,4,6.91,0,6.91,40.9
dairy,4,5.48,20,4.38,92.0
dairy,5,3.58,40,2.15,80.3
dairy,7,12.64,20,10.11,65.5
dairy,4,4.89,0,4.89,47.1
dairy,7,11.35,20,9.08,60.7
dairy,0,8.83,10,7.95,84.6
dairy,3,5.91,0,5.91,46.0
dairy,2,7.38,0,7.38,39.7
dairy,7,9.41,20,7.53,41.7
dairy,7,8.06,50,4.03,119.6
dairy,2,3.62,0,3.62,38.5
dairy,3,2.79,20,2.24,79.8
dairy,6,11.69,30,8.18,57.5
dairy,7,7.29,20,5.83,75.5
dairy,3,9.94,50,4.97,112.7
dairy,2,10.24,0,10.24,49.1
dairy,6,9.24,10,8.32,38.8
dairy,2,7.88,0,7.88,43.4
dairy,6,12.92,0,12.92,43.9
dairy,5,3.15,0,3.15,49.7
dairy,2,5.73,20,4.58,83.0
dairy,1,6.91,0,6.91,50.0
dairy,7,5.93,0,5.93,50.0
dairy,6,7.67,10,6.91,76.8
dairy,7,3.74,50,1.87,106.8
dairy,2,4.85,50,2.42,128.1
dairy,6,6.33,20,5.06,70.8
dairy,3,11.97,50,5.98,197.4
dairy,1,10.42,10,9.38,79.0
dairy,2,7.09,10,6.38,65.0
dairy,0,8.75,10,7.88,64.9
dairy,3,14.29,20,11.43,59.3
dairy,7,10.66,20,8.53,58.8
dairy,0,9.39,0,9.39,57.8
dairy,4,10.01,0,10.01,33.3
dairy,2,5.97,30,4.18,52.2
dairy,6,5.59,10,5.03,54.4
dairy,5,10.13,20,8.1,54.7
dairy,0,12.65,0,12.65,66.2
dairy,4,13.64,0,13.64,44.0
dairy,2,5.73,40,3.44,92.7
dairy,7,13.43,30,9.4,61.6
dairy,6,6.22,0,6.22,39.8
dairy,7,4.4,20,3.52,54.1
dairy,5,3.86,30,2.7,45.7
dairy,4,12.95,0,12.95,38.2
dairy,2,7.28,20,5.82,80.0
dairy,0,14.17,0,14.17,70.6
dairy,6,7.87,0,7.87,36.4
dairy,3,2.73,0,2.73,36.9
dairy,0,7.84,0,7.84,48.5
dairy,0,12.22,50,6.11,190.8
dairy,0,12.81,0,12.81,61.8
dairy,6,7.93,20,6.34,41.9
dairy,4,14.88,40,8.93,124.9
dairy,4,13.73,0,13.73,37.7
dairy,7,7.1,0,7.1,35.8
dairy,7,10.43,10,9.39,41.2
dairy,5,12.18,20,9.74,70.5
dairy,2,5.76,10,5.19,40.5
dairy,7,4.05,10,3.64,32.1
dairy,0,6.28,0,6.28,41.8
dairy,6,8.09,0,8.09,34.3
dairy,2,12.35,10,11.11,68.2
dairy,4,3.47,0,3.47,46.9
dairy,7,5.28,30,3.69,73.3
dairy,7,11.34,30,7.94,63.6
dairy,4,11.32,0,11.32,45.6
dairy,2,14.49,10,13.04,51.9
dairy,6,6.64,0,6.64,26.7
dairy,1,12.02,40,7.21,86.6
dairy,6,13.79,10,12.41,51.2
dairy,3,8.61,50,4.3,70.8
dairy,1,12.12,10,10.91,42.9
dairy,3,12.31,50,6.16,161.4
dairy,5,11.38,30,7.96,51.1
dairy,1,5.64,30,3.95,79.7
dairy,7,6.68,30,4.68,64.8
dairy,0,5.13,0,5.13,68.6
dairy,5,5.83,40,3.5,61.4
dairy,0,14.63,10,13.17,73.3
dairy,3,14.69,0,14.69,35.5
dairy,0,3.22,10,2.9,83.9
dairy,1,9.32,20,7.46,83.7
dairy,2,6.7,20,5.36,65.5
dairy,1,3.3,0,3.3,41.8
dairy,1,8.18,10,7.36,47.6
dairy,2,12.53,20,10.03,42.3
dairy,3,11.65,50,5.83,68.8
dairy,7,14.61,20,11.69,49.8
dairy,3,9.9,40,5.94,77.3
dairy,4,12.82,0,12.82,29.4
dairy,3,14.98,0,14.98,106.9
dairy,6,3.27,0,3.27,53.2
dairy,6,8.8,0,8.8,36.2
dairy,6,8.0,20,6.4,57.6
dairy,7,5.5,0,5.5,50.7
dairy,6,14.28,50,7.14,79.8
dairy,2,10.59,50,5.29,126.9
dairy,4,8.38,40,5.03,83.7
dairy,5,14.99,50,7.49,67.0
dairy,3,10.24,0,10.24,42.9
dairy,7,14.36,10,12.93,44.7
dairy,2,9.83,0,9.83,80.0
dairy,0,3.01,20,2.41,55.6
dairy,2,11.07,0,11.07,36.7
dairy,7,9.73,10,8.76,60.9
dairy,0,9.46,10,8.52,68.3
dairy,7,12.16,10,10.95,40.7
dairy,4,8.1,20,6.48,53.5
dairy,4,3.4,40,2.04,70.2
dairy,4,14.25,40,8.55,116.0
dairy,6,4.06,20,3.25,82.4
dairy,5,12.03,10,10.83,50.8
dairy,2,6.82,30,4.77,61.9
dairy,0,6.24,40,3.74,115.8
dairy,6,9.69,0,9.69,28.9
dairy,6,14.43,40,8.66,76.3
dairy,2,13.65,0,13.65,42.9
dairy,7,6.28,40,3.77,63.8
dairy,2,10.17,50,5.09,99.3
dairy,2,11.7,0,11.7,46.8
dairy,6,11.18,0,11.18,29.7
dairy,3,5.24,0,5.24,38.9
dairy,5,11.92,0,11.92,51.4
dairy,0,11.8,30,8.26,98.6
dairy,2,5.29,0,5.29,59.3
dairy,7,12.03,50,6.01,90.1
dairy,7,5.22,10,4.7,57.1
dairy,3,13.95,40,8.37,136.9
dairy,7,5.33,0,5.33,38.6
dairy,7,10.09,50,5.05,125.6
dairy,5,10.11,10,9.1,72.3
dairy,5,7.64,20,6.11,63.2
dairy,0,10.69,0,10.69,57.8
dairy,4,2.02,20,1.62,64.3
dairy,6,3.6,0,3.6,23.4
dairy,4,6.0,30,4.2,49.6
dairy,6,11.49,50,5.74,60.0
dairy,6,9.74,0,9.74,23.6
dairy,3,13.02,20,10.41,41.2
dairy,6,12.84,20,10.27,39.9
dairy,3,13.36,40,8.02,99.6
dairy,4,9.5,10,8.55,56.2
dairy,2,14.64,0,14.64,47.9
dairy,0,2.51,20,2.01,49.4
dairy,5,10.61,50,5.31,74.8
dairy,6,3.4,40,2.04,83.4
dairy,3,5.73,30,4.01,66.3
dairy,2,10.87,20,8.7,69.0
dairy,4,3.13,0,3.13,33.9
dairy,5,9.82,0,9.82,44.1
dairy,3,5.7,20,4.56,58.7
dairy,7,3.46,0,3.46,42.3
dairy,1,4.1,0,4.1,32.8
dairy,1,3.21,50,1.6,162.7
dairy,2,2.73,0,2.73,53.5
dairy,0,9.29,0,9.29,40.3
dairy,7,7.65,0,7.65,49.3
dairy,0,5.27,10,4.74,58.2
dairy,7,11.39,10,10.25,48.5
dairy,2,4.97,50,2.48,123.8
dairy,6,12.74,50,6.37,54.9
dairy,6,4.48,30,3.14,82.1
dairy,4,6.3,0,6.3,37.3
dairy,5,3.83,20,3.07,41.2
dairy,2,7.84,40,4.7,113.7
dairy,0,5.52,40,3.31,96.0
dairy,2,4.34,0,4.34,32.3
dairy,5,2.82,0,2.82,49.9
dairy,7,10.59,30,7.41,52.1
dairy,2,13.41,0,13.41,32.9
dairy,4,14.29,0,14.29,35.8
dairy,1,7.13,30,4.99,76.8
dairy,3,9.14,30,6.4,82.8
dairy,1,10.53,20,8.43,43.5
dairy,3,10.6,0,10.6,43.1
dairy,3,14.67,0,14.67,42.3
dairy,1,10.68,50,5.34,96.8
dairy,4,7.66,10,6.89,35.7
dairy,4,11.83,30,8.28,101.8
